Common Name,Scientific Name
Aeonium Velour,Aeonium velour
Alocasia Silver Dragon,Alocasia baginda
Aloe Vera,Aloe barbadensis
Baby Tears,Pilea depressa
Bird's Nest Fern,Asplenium nidus
Black Velvet Elephant Ear,Alocasia reginula
Burgundy Rubber Tree,Ficus elastica
Calico Kitten Plant,"Crassula marginalis var. rubra 'Variegata'"
Chinese Money Plant,Pilea peperomioides
"Christmas Cactus, Holiday Cactus, Thanksgiving Cactus",Schlumbergera
Dracaena Lemon Surprise,Dracaena deremensis
Dracaena Limelight,Dracaena fragrans
Dumb Cane 'Amy',"Dieffenbachia 'Amy'"
Dwarf Umbrella Tree,Schefflera arboricola
Echeveria,Echeveria
Echeveria Tippy,"Echeveria 'Tippy'"
Echeveria Topsy Turvy,"Echeveria runyonii 'Topsy Turvy'"
English Ivy,Hedera helix
Fiddle Leaf Fig,Ficus lyrata
Fishbone Prayer Plant,Ctenanthe burle-marxii
Golden Pothos,Epipremnum aureum
Heartleaf Philodendron,"Philodendron hederaceum 'Brasil'"
Himalaya Senecio,Senecio barbertonicus
Jade Plant,Crassula ovata
Kalanchoe Calandiva,Kalanchoe blossfeldiana
Lemon Lime Prayer Plant,"Maranta leuconeura 'Lemon Lime'"
Mistletoe Cactus,Rhipsalis burchellii
Money Tree,Pachira aquatica
Monstera Minima,Rhaphidophora tetrasperma
Moonshine Snake Plant,"Dracaena trifasciata 'Moonshine'"
Mother of Thousands,Kalanchoe houghtonii
N'Joy Pothos,"Epipremnum aureum 'N'Joy'"
Painted-leaf Begonia,Begonia rex
Panda Plant,Kalanchoe tomentosa
Peace Lily,Spathiphyllum wallisii
Peperomia Frost,"Peperomia caperata 'Frost'"
Philodendron,Philodendron
Philodendron Birkin,"Philodendron 'Birkin'"
Philodendron McColley's Finale,"Philodendron 'McColley's Finale'"
Picasso's Paintbrush Croton,Codiaeum variegatum
Pickle Plant,Senecio stapeliiformis
Pink Painted Prayer Plant,Goeppertia roseopicta
Pink Panther Plant,"Callisia repens 'pink panther'"
Pink Quill Bromeliad,Wallisia cyanea
Pinstripe Prayer Plant,Calathea ornata
Poinsettia,"Euphorbia pulcherrima ' Winter Rose Early Red'"
Poinsettia,Euphorbia pulcherrima
Polka Dot Begonia,Begonia maculata
Purple Waffle Plant,"Hemigraphis alternata 'Exotica'"
Radiator Plant,"Peperomia caperata 'Rosso'"
Rattlesnake Plant,Calathea lancifolia
Red Veined Prayer Plant,Maranta leuconeura
Reverse Spider Plant,"Chlorophytum comosum 'Variegatum'"
Rose Croton,"Codiaeum variegatum 'Rose'"
Rose Painted Prayer Plant,Calathea roseopicta
Satin Pothos,Scindapsus pictus
"Silver Squill, Wood Hyacinth, Leopard Lily",Ledebouria socialis
Snake Plant Laurentii,Dracaena trifasciata var. laurentii
Snake Plant Zeylanica,Dracaena zeylanica
Spider Plant,Chlorophytum comosum
Staghorn Fern,Platycerium
Star Power Snake Plant,"Dracaena trifasciata 'Star Power'"
String of Arrows,"Ceropegia woodii 'String of Arrows'"
String of Bananas,Curio radicans
String of Hearts,Ceropegia woodii
String of Pearls,Senecio rowleyanus
String of Teardrops,Curio citriformis
Swiss Cheese Plant,Monstera deliciosa
Swiss Cheese Vine,Monstera adansonii
Tricolor Strawberry Begonia,"Saxifraga stolonifera 'Tricolor'."
Triostar Prayer Plant,"Stromanthe sanguinea 'Triostar'"
Variegated Hoya,Hoya wayetii variegated
Variegated Money Maker Plant,"Crassula swaziensis 'Variegata'"
Variegated Rubber Plant,"Ficus elastica 'Tineke'"
Velvet Philodendron,Philodendron hederaceum
Wandering Spiderwort,Tradescantia pallida
"Wintergreen, Teaberry, Checkerberry","Gaultheria procumbens 'Very Berry'"
Zambezi Lace Aloe,Aloe aristata
Zebra Plant,Calathea vittata
ZZ Plant,Zamioculcas zamiifolia
